Code NACRES;Montant
AA01;244.14
AA11;3171.79
AA14;28.57
AA16;90.3
AA21;228.14
AA22;144.96
AA23;57.56
AA41;24.62
AA44;174.98
AA63;1380.3
AA64;5869.08
AA66;230,00
AA71;212.4
AB01;2506.92
AB02;1274.03
AC01;1512.07
AC11;418.89
AC21;3180,00
AC31;4834.31
AD21;211.92
BA11;55.75
BB02;621.43
BB31;323.61
BD24;411.75
BD25;341.05
BE15;457.72
CA11;3200,00
CA22;2368,00
CB25;4100,00
CC22;400,00
DC01;23171.78
EA13;8.71
EB04;500,00
EB51;1900,00
EB56;3950,00
EC01;8502,00
FA01;211.32
FA02;193.92
FB01;13.1
FB02;29,00
FC01;1504.99
FC02;43,00
FC06;224.13
FC11;164.45
FC12;461.9
FC15;437.81
FD03;15,00
GA06;345.8
GA09;69.25
GA51;2050.07
GB11;791.29
GB12;2442.15
GB13;4107.6
HA01;1244.75
HA02;24,00
HA05;84,00
HA06;698.2
HA11;268.55
HA12;2175.13
HA23;245,00
HB01;742.11
IA01;14428.78
IA11;14363.04
IA12;599,00
IA21;1035.8
IA22;902.51
IA23;1048.94
IA24;16828.33
IA25;8374.05
IA33;11027.11
IA41;65.5
IB31;3338,00
IB32;950.21
IB34;3580.94
IC11;25,00
IE22;29.17
IE36;5493.1
JA01;1320.5
JA02;988.06
JA14;7852.92
JB11;3170.62
KA01;457.1
KA14;15639.21
KA34;790,00
KB24;370.09
KC13;854,00
KE22;15639.21
KG05;2962.1
KG11;4800,00
LB32;733.65
LB61;562,00
LD22;4350,00
MA01;1108.24
MA14;1165.58
MA43;22667.66
MA46;2972.36
MB05;1904,00
MC02;3469.5
NA05;121.53
NA07;4851,00
NA21;3106.19
NA22;5031.97
NA23;561.34
NA24;38.76
NA25;1372.5
NA28;6699.53
NA31;37.5
NA32;1382.3
NA41;9605.55
NA43;612,00
NA44;486.2
NA46;2115.15
NA47;607.3
NA51;1664.5
NA52;383,00
NA53;139.35
NA54;104.5
NA55;688.8
NA56;245,00
NA61;237.04
NA71;7519.12
NA75;1465.51
NA76;155.1
NA77;1311.4
NA78;363,00
NA79;3536.56
NA81;309.6
NA82;8097.8
NA83;14341.73
NA84;4152.16
NA85;263.1
NB01;1692,00
NB02;1218.29
NB03;790.52
NB04;167.6
NB11;3347.07
NB12;767.61
NB13;3755.46
NB15;375.62
NB17;1208.9
NB23;3551.04
NB24;4700.88
NB33;1272.61
NB34;278.14
NB35;866.86
NB43;1272.32
NB44;168.11
NB51;569.49
NB71;1441,00
NB72;651.2
NB74;171.22
NB76;341.44
NB77;3601.63
NB79;1532.2
NB82;318.88
NB83;902.6
NB84;4714.12
NB86;463.5
NB87;58.53
NC51;3062,00
ND03;448.98
ND04;2081,00
ND13;1168.45
ND14;3934.25
ND53;983.41
NE11;3061,00
NE22;0,00
OA01;345.9
OA02;530.68
OA04;298.19
OA05;1049.8
OA15;5120,00
OA21;10536.96
OA22;2996.14
OA33;407,00
OA37;1555.58
OA38;2015.38
OA41;735.94
OA42;30129,00
OB11;8275,00
OB13;6895,00
PB01;286.83
PB11;9603.98
PB12;7000,00
PB34;3946.42
PB35;8716.5
PC02;745,00
RA01;2069.35
RA05;703.4
RA14;99.8
RA15;697.84
RA16;109.07
RA17;12.08
RA18;3448.76
RA19;448.5
RA22;586.95
RA23;695.13
RA32;176.37
RB01;400,00
RB02;645.15
RD01;1073.1
RD03;43.31
SE13;80.32
SG42;1490.1
TA01;1441.15
TA02;76.69
TA05;76.61
TA22;425.97
TB01;3777.5
TB03;1045,00
UC13;3799.7
UC32;14.06
UC35;110.5
VA03;185.6
VA15;2900,00
VA21;550,00
VC02;500,00
XB32;17.2
XC01;11175.49
XC14;2803.31
XD59;26,00
XD61;1357.57
XF01;6254.76
XF03;11624.85
XF04;957.27
XF08;3040,00
