Mission;Date de départ;;Ville de départ;Pays de départ;Ville de destination;Pays de destination;;;Moyens de transport;;;;;Nb de personnes dans la voiture;Aller / Retour;Motif du déplacement
1;01/01/2023;;PARIS CEDEX 13;France;Canberra;Australie;;;Avion;;;;;;OUI;Rech. en équipe, collaboration
2;05/02/2023;;GENTILLY;France;MONTPELLIER;France;;;Train;;;;;;OUI;Rech. en équipe, collaboration
3;06/02/2023;;IGNY;France;VENISE;Italie;;;Avion;;;;;1;OUI;Colloques et congrés
4;08/02/2023;;PARIS;France;BRUXELLES;Belgique;;;Train;;;;;;OUI;Colloques et congrés
5;13/02/2023;;PARIS ;France;PARIS;France;;;Metro;;;;;;OUI;Acq nouv connaissances&techniq
6;13/02/2023;;PARIS ;France;PARIS;France;;;Metro;;;;;;OUI;Acq nouv connaissances&techniq
7;28/02/2023;;PARIS;France;SAINT MARTIN D ARDECHE;France;;;Train;;;;;;OUI;Rech. doc. ou sur terrain
8;28/02/2023;;PARIS;France;SAINT MARTIN D ARDECHE;France;;;Train;;;;;1;OUI;Rech. en équipe, collaboration
9;28/02/2023;;PARIS;France;ST MARTIN D ARDECHE;France;;;Train;;;;;;OUI;Rech. en équipe, collaboration
10;05/03/2023;;IGNY;France;BOSTON;Etats-Unis;;;Avion;;;;;1;OUI;Acq nouv connaissances&techniq
11;13/03/2023;;PARIS;France;GEILO;Norvège;;;Train;;;;;;OUI;Colloques et congrés
12;13/03/2023;;PARIS;France;ORLEANS;France;;;Train;;;;;;OUI;Rech. en équipe, collaboration
13;29/03/2023;;LE KREMLIN BICETRE;France;VIENNE ;Autriche;;;Avion;;;;;;OUI;Rech. en équipe, collaboration
14;02/05/2023;;PARIS;France;NICE;France;;;Train;;;;;;OUI;Colloques et congrés
15;10/05/2023;;PARIS;France;SAINT-PIERRE-D'OLERON;France;;;Train;;;;;;OUI;Colloques et congrés
16;12/05/2023;;PARIS;France;Alghero;Italie;;;Avion;;;;;;OUI;Colloques et congrés
17;16/05/2023;;PARIS;France;SEATTLE;Etats-Unis;;;Avion;;;;;;OUI;Colloques et congrés
18;22/05/2023;;SEATTLE;Etats-Unis;WASHINGTON;Etats-Unis;;;Avion;;;;;;OUI;Colloques et congrés
19;23/05/2023;;PARIS;France;BRATISLAVA;Slovaquie;;;Avion;;;;;1;OUI;Visite, contact pour projet
20;24/05/2023;;PARIS;France;CAEN;France;;;Train;;;;;;OUI;Autres
21;30/05/2023;;PARIS;France;PARIS;France;;;Métro;;;;;;OUI;Acq nouv connaissances&techniq
